0101JAMMU & KASHMIR               Kupwara 01
1022BIHAR                         Bhagalpur 22
1023BIHAR                         Banka * 23
1024BIHAR                         Munger 24
1025BIHAR                         Lakhisarai * 25
1026BIHAR                         Sheikhpura * 26
1027BIHAR                         Nalanda 27
1028BIHAR                         Patna 28
1029BIHAR                         Bhojpur 29
1030BIHAR                         Buxar * 30
1031BIHAR                         Kaimur (Bhabua) * 31
1032BIHAR                         Rohtas 32
1033BIHAR                         Jehanabad 33
1034BIHAR                         Aurangabad 34
1035BIHAR                         Gaya 35
1036BIHAR                         Nawada 36
1037BIHAR                         Jamui * 37
1038BIHAR                         ARVAL * 38
1101SIKKIM                        North 01
1102SIKKIM                        West 02
1103SIKKIM                        South 03
1104SIKKIM                        East 04
1201ARUNACHAL PRADESH             Tawang 01
1202ARUNACHAL PRADESH             West Kameng 02
1203ARUNACHAL PRADESH             East Kameng 03
1204ARUNACHAL PRADESH             Papum Pare * 04
1205ARUNACHAL PRADESH             Lower Subansiri 05
1206ARUNACHAL PRADESH             Upper Subansiri 06
1207ARUNACHAL PRADESH             West Siang 07
1208ARUNACHAL PRADESH             East Siang 08
1209ARUNACHAL PRADESH             Upper Siang * 09
1210ARUNACHAL PRADESH             Dibang Valley 10
1211ARUNACHAL PRADESH             Lohit 11
1212ARUNACHAL PRADESH             Changlang 12
1213ARUNACHAL PRADESH             Tirap 13
1301NAGALAND                      Mon 01
1302NAGALAND                      Tuensang 02
1303NAGALAND                      Mokokchung 03
1304NAGALAND                      Zunheboto 04
1305NAGALAND                      Wokha 05
1306NAGALAND                      Dimapur * 06
1307NAGALAND                      Kohima 07
1308NAGALAND                      Phek 08
1401MANIPUR                       Senapati 01
1402MANIPUR                       Tamenglong 02
1403MANIPUR                       Churachandpur 03
1404MANIPUR                       Bishnupur 04
1405MANIPUR                       Thoubal 05
1406MANIPUR                       Imphal West 06
1407MANIPUR                       Imphal East * 07
1408MANIPUR                       Ukhrul 08
1409MANIPUR                       Chandel 09
1501MIZORAM                       Mamit * 01
1502MIZORAM                       Kolasib * 02
1503MIZORAM                       Aizawl 03
1504MIZORAM                       Champhai * 04
1505MIZORAM                       Serchhip * 05
1506MIZORAM                       Lunglei 06
1507MIZORAM                       Lawngtlai 07
1508MIZORAM                       Saiha * 08
1601TRIPURA                       West Tripura 01
1602TRIPURA                       South Tripura 02
1603TRIPURA                       Dhalai * 03
1604TRIPURA                       North Tripura 04
1701MEGHALAYA                     West Garo Hills 01
1702MEGHALAYA                     East Garo Hills 02
1703MEGHALAYA                     South Garo Hills * 03
1704MEGHALAYA                     West Khasi Hills 04
1705MEGHALAYA                     Ri Bhoi * 05
1706MEGHALAYA                     East Khasi Hills 06
1707MEGHALAYA                     Jaintia Hills 07
1801ASSAM                         Kokrajhar 01
1802ASSAM                         Dhubri 02
1803ASSAM                         Goalpara 03
1804ASSAM                         Bongaigaon 04
1805ASSAM                         Barpeta 05
1806ASSAM                         Kamrup 06
1807ASSAM                         Nalbari 07
1808ASSAM                         Darrang 08
1809ASSAM                         Marigaon 09
1810ASSAM                         Nagaon 10
1811ASSAM                         Sonitpur 11
1812ASSAM                         Lakhimpur 12
1813ASSAM                         Dhemaji 13
1814ASSAM                         Tinsukia 14
1815ASSAM                         Dibrugarh 15
1816ASSAM                         Sibsagar 16
1817ASSAM                         Jorhat 17
1818ASSAM                         Golaghat 18
1819ASSAM                         Karbi Anglong 19
1820ASSAM                         North Cachar Hills 20
1821ASSAM                         Cachar 21
1822ASSAM                         Karimganj 22
1823ASSAM                         Hailakandi 23
1824ASSAM                         Chirang 24
1825ASSAM                         Baska  25
1826ASSAM                         Udalguri 26
1827ASSAM                         Kamrup (Metro) 27
1901WEST BENGAL                   Darjiling 01
1902WEST BENGAL                   Jalpaiguri 02
1903WEST BENGAL                   Koch Bihar 03
1904WEST BENGAL                   Uttar Dinajpur 04
1905WEST BENGAL                   Dakshin Dinajpur * 05
1906WEST BENGAL                   Maldah 06
1907WEST BENGAL                   Murshidabad 07
1908WEST BENGAL                   Birbhum 08
1909WEST BENGAL                   Barddhaman 09
1910WEST BENGAL                   Nadia 10
1911WEST BENGAL                   North Twenty Four Parganas 11
1912WEST BENGAL                   Hugli 12
1913WEST BENGAL                   Bankura 13
1914WEST BENGAL                   Puruliya 14
1915WEST BENGAL                   Paschim Midnapor 15
1916WEST BENGAL                   Haora 16
1917WEST BENGAL                   Kolkata 17
1918WEST BENGAL                   South Twenty Four Parganas 18
1919WEST BENGAL                   Purba Medinipur
2001JHARKHAND                     Garhwa * 01
2002JHARKHAND                     Palamu 02
2003JHARKHAND                     Chatra * 03
2004JHARKHAND                     Hazaribag 04
2005JHARKHAND                     Kodarma * 05
2006JHARKHAND                     Giridih 06
2007JHARKHAND                     Deoghar 07
2008JHARKHAND                     Godda 08
2009JHARKHAND                     Sahibganj 09
2010JHARKHAND                     Pakaur * 10
2011JHARKHAND                     Dumka 11
2012JHARKHAND                     Dhanbad 12
2013JHARKHAND                     Bokaro * 13
2014JHARKHAND                     Ranchi 14
2015JHARKHAND                     Lohardaga 15
2016JHARKHAND                     Gumla 16
2017JHARKHAND                     Pashchimi Singhbhum 17
2018JHARKHAND                     Purbi Singhbhum 18
2019JHARKHAND                     Latehar
2020JHARKHAND                     Simdega
2021JHARKHAND                     Jamtara
2022JHARKHAND                     Seraikela Kharswan
2101ORISSA                        Bargarh * 01
2102ORISSA                        Jharsuguda * 02
2103ORISSA                        Sambalpur 03
2104ORISSA                        Debagarh * 04
2105ORISSA                        Sundargarh 05
2106ORISSA                        Kendujhar 06
2107ORISSA                        Mayurbhanj 07
2108ORISSA                        Baleshwar 08
2109ORISSA                        Bhadrak * 09
2110ORISSA                        Kendrapara * 10
2111ORISSA                        Jagatsinghapur * 11
2112ORISSA                        Cuttack 12
2113ORISSA                        Jajapur * 13
2114ORISSA                        Dhenkanal 14
2115ORISSA                        Anugul * 15
2116ORISSA                        Nayagarh * 16
2117ORISSA                        Khordha * 17
2118ORISSA                        Puri 18
2119ORISSA                        Ganjam 19
2120ORISSA                        Gajapati * 20
2121ORISSA                        Kandhamal 21
2122ORISSA                        Baudh * 22
2123ORISSA                        Sonapur * 23
2124ORISSA                        Balangir 24
2125ORISSA                        Nuapada * 25
2126ORISSA                        Kalahandi 26
2127ORISSA                        Rayagada * 27
2128ORISSA                        Nabarangapur * 28
2129ORISSA                        Koraput 29
2130ORISSA                        Malkangiri * 30
2201CHHATISGARH                   Koriya * 01
2202CHHATISGARH                   Surguja 02
2203CHHATISGARH                   Jashpur * 03
2204CHHATISGARH                   Raigarh 04
2205CHHATISGARH                   Korba * 05
2206CHHATISGARH                   Janjgir - Champa * 06
2207CHHATISGARH                   Bilaspur 07
2208CHHATISGARH                   Kawardha * 08
2209CHHATISGARH                   Rajnandgaon 09
2210CHHATISGARH                   Durg 10
2211CHHATISGARH                   Raipur 11
2212CHHATISGARH                   Mahasamund * 12
2213CHHATISGARH                   Dhamtari * 13
2214CHHATISGARH                   Kanker * 14
2215CHHATISGARH                   Bastar 15
2216CHHATISGARH                   Dantewada * 16
2301MADHYA PRADESH                Sheopur * 01
2302MADHYA PRADESH                Morena 02
2303MADHYA PRADESH                Bhind 03
2304MADHYA PRADESH                Gwalior 04
2305MADHYA PRADESH                Datia 05
2306MADHYA PRADESH                Shivpuri 06
2307MADHYA PRADESH                Guna 07
2308MADHYA PRADESH                Tikamgarh 08
2309MADHYA PRADESH                Chhatarpur 09
2310MADHYA PRADESH                Panna 10
2311MADHYA PRADESH                Sagar 11
2312MADHYA PRADESH                Damoh 12
2313MADHYA PRADESH                Satna 13
2314MADHYA PRADESH                Rewa 14
2315MADHYA PRADESH                Umaria * 15
2316MADHYA PRADESH                Shahdol 16
